Label	Scale (scale range)	PO_ID	Properties	Signification	Synonyms	TO_ID
P	Plant (1)		Experiment_name	name of experiment		
			Sampling_date	Date of sampling		
			Architectural_date	Date of plant architecture		
			Genotype	Varieties or genotype names		
			Plant_ID	Plant numerous		
			Stade	Plant development stage		PO:0009011
T/A	Crown (2)	PO: 0025029	Collar Diameter (mm)	diameter of collar (of the Primary crown)	BAINDIA,DBI	TO:0000132
F	Leaf (3)	PO:0009025	Leaf area (mm²)	Total leaf area	LFAR	TO:0000540
	cotyledon	PO:0020030	Leaf area (mm²)	Leaf area	LFAR	TO:0000540
			leaflet lenght (mm)	leaf length 	LFLG	TO:0000774
			leaflet width (mm)	leaf width	LFWD	TO:0000370
			Petiol length (mm)	petiole lenght	PETLG	TO:0000766
	Unifoliate	"PO:0020042/
PO:0006339"	Leaflet area	leaf area	LFAR	TO:0000540
			leaflet lenght (mm)	leaf length	LFLG	TO:0000774
			leaflet width (mm)	leaf width	LFWD	TO:0000370
			Petiol length (mm)	petiole lenght	PETLG	TO:0000766
	Trifoliate	PO:0020043	Left Leaflet area (mm²)	Left Leaflet area	LFTAR_LEFT	TO:0000540?
			Left leaflet lenght (mm)	leaflet length	LFTLG_LEFT	TO:0000774?
			Left leaflet width (mm)	leaflet width	LFTWD_LEFT	TO:0000370?
			Central Leaflet area (mm²)	Left Leaflet area	LFTAR_CENTRAL	TO:0000540?
			Central leaflet lenght (mm)	leaflet length	LFTLG_CENTRAL	TO:0000774?
			Central leaflet width (mm)	leaflet width	LFTWD_CENTRAL	TO:0000370?
			Right Leaflet area (mm²)	Left Leaflet area	LFTAR_RIGHT	TO:0000540?
			Right leaflet lenght (mm)	leaflet length	LFTLG_RIGHT	TO:0000774?
			Right leaflet width (mm)	leaflet width	LFTWD_RIGHT	TO:0000370?
			Petiol length (mm)	petiole lenght	PETLG	TO:0000766
f	Primordium leaf (3)	PO:0000017				
HT	Inflorescence (3)	PO:0009049	Inflorescence lenght (mm)	Inflorescence length	INFLOLG	TO:0000271
			Flower number	Total number of flower on inflorescence	FLWRNUMBER	TO:0002736 /CO_336:0000159
			Open flowers	Total number of flower opened on inflorescence	FLWRNUMBER_OPEN	TO:0002736?
			Aborted flowers	Total number of flower aborted	FLWRNUMBER_ABORTED	TO:0002736?
			Closed flowers	Total number of flower Closed	FLWRNUMBER_CLOSED	TO:0002736?
			Stage	Stage from I to 87 (Inflorescence stage)		
ht	Primodium inflorescence (3)	PO:0000057	Stage	Stage from B to H (Floral stage)		
bt	Bud	PO:0000055	Stage	Stage from 17 to 19 (vegetative stage) + stage A (initiated stage)		
s	Stolon	PO:0003024				
