;Genotype;date;modality;plant;order;nb_visible_leaves;nb_foliar_primordia;nb_total_leaves;nb_open_flowers;nb_aborted_flowers;nb_total_flowers;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_stolons;type_of_crown;crown_status;vid;plant_vid
385;AH501;22-06-2018;Gariguette;1;0;8;0;8;15;0;19;4;0;0;3;1;4.0;10340;10339
90;AH501;22-06-2018;Gariguette;1;1;9;0;9;0;0;0;2;0;0;7;2;1.0;10381;10339
364;AH501;22-06-2018;Gariguette;1;1;4;0;4;0;0;0;0;0;0;1;3;1.0;10342;10339
485;AH501;22-06-2018;Gariguette;1;1;3;0;3;13;0;13;2;0;0;0;3;4.0;10366;10339
509;AH501;22-06-2018;Gariguette;1;2;5;0;5;0;0;0;0;0;0;0;2;1.0;10372;10339
110;AH501;22-06-2018;Gariguette;2;0;13;0;13;13;0;14;5;0;0;6;1;4.0;10412;10411
152;AH501;22-06-2018;Gariguette;2;1;2;0;2;8;0;8;0;0;0;0;2;4.0;10478;10411
258;AH501;22-06-2018;Gariguette;2;1;2;0;2;6;0;9;1;0;0;0;3;4.0;10447;10411
312;AH501;22-06-2018;Gariguette;2;2;8;0;8;0;0;0;2;0;0;6;2;1.0;10450;10411
921;AH501;22-06-2018;Gariguette;2;2;4;0;4;5;0;5;4;0;0;0;2;4.0;10481;10411
164;AH501;22-06-2018;Gariguette;2;3;4;0;4;0;0;0;0;0;0;1;2;1.0;10492;10411
1002;AH501;22-06-2018;Gariguette;3;0;10;0;10;13;0;15;8;0;0;0;1;4.0;10504;10503
24;AH501;22-06-2018;Gariguette;3;1;2;0;2;7;0;7;1;0;0;0;2;4.0;10584;10503
173;AH501;22-06-2018;Gariguette;3;1;10;0;10;0;0;0;2;0;0;5;3;1.0;10506;10503
206;AH501;22-06-2018;Gariguette;3;1;3;0;3;3;0;4;1;0;0;0;3;4.0;10558;10503
21;AH501;22-06-2018;Gariguette;3;2;7;0;7;0;0;0;0;0;0;3;2;1.0;10587;10503
175;AH501;22-06-2018;Gariguette;3;2;4;0;4;0;0;0;0;0;0;0;3;1.0;10511;10503
209;AH501;22-06-2018;Gariguette;3;2;6;0;6;0;0;0;2;0;0;4;2;1.0;10562;10503
657;AH501;22-06-2018;Gariguette;4;0;10;0;10;7;0;7;6;0;0;0;1;4.0;10605;10604
278;AH501;22-06-2018;Gariguette;4;1;7;0;7;8;0;9;5;0;0;0;3;4.0;10673;10604
320;AH501;22-06-2018;Gariguette;4;1;3;0;3;4;0;4;3;0;0;0;3;4.0;10739;10604
333;AH501;22-06-2018;Gariguette;4;1;2;0;2;3;0;3;2;0;0;0;2;4.0;10760;10604
923;AH501;22-06-2018;Gariguette;4;1;5;0;5;4;0;6;4;0;0;0;3;4.0;10607;10604
238;AH501;22-06-2018;Gariguette;4;2;1;0;1;0;0;0;1;0;0;0;3;1.0;10609;10604
242;AH501;22-06-2018;Gariguette;4;2;4;0;4;4;0;5;4;0;0;0;3;4.0;10615;10604
269;AH501;22-06-2018;Gariguette;4;2;6;0;6;0;0;0;1;0;0;5;2;1.0;10651;10604
289;AH501;22-06-2018;Gariguette;4;2;4;0;4;1;0;2;1;0;0;0;3;4.0;10690;10604
458;AH501;22-06-2018;Gariguette;4;2;2;0;2;4;0;4;2;0;0;0;2;4.0;10699;10604
625;AH501;22-06-2018;Gariguette;4;2;3;0;3;0;0;0;2;0;0;1;2;1.0;10747;10604
696;AH501;22-06-2018;Gariguette;4;2;5;0;5;0;0;0;2;0;0;3;2;1.0;10765;10604
249;AH501;22-06-2018;Gariguette;4;3;5;0;5;0;0;0;0;0;0;5;2;1.0;10626;10604
296;AH501;22-06-2018;Gariguette;4;3;4;0;4;0;0;0;0;0;0;4;2;1.0;10704;10604
777;AH501;22-06-2018;Gariguette;5;0;10;0;10;9;0;11;7;0;0;0;1;4.0;10785;10784
410;AH501;22-06-2018;Gariguette;5;1;2;0;2;4;0;4;2;0;0;0;3;3.0;10875;10784
431;AH501;22-06-2018;Gariguette;5;1;2;0;2;7;0;7;2;0;0;0;2;4.0;10908;10784
818;AH501;22-06-2018;Gariguette;5;1;12;0;12;0;0;0;4;0;0;7;3;1.0;10820;10784
1157;AH501;22-06-2018;Gariguette;5;1;4;0;4;4;0;4;4;0;0;0;3;4.0;10787;10784
33;AH501;22-06-2018;Gariguette;5;2;8;0;8;0;0;0;4;0;0;4;2;1.0;10913;10784
358;AH501;22-06-2018;Gariguette;5;2;6;0;6;0;0;0;1;0;0;5;2;1.0;10798;10784
413;AH501;22-06-2018;Gariguette;5;2;8;0;8;0;0;0;2;0;0;6;2;1.0;10880;10784
68;AH501;22-06-2018;Gariguette;6;0;8;0;8;3;0;3;8;0;0;0;1;4.0;10942;10941
12;AH501;22-06-2018;Gariguette;6;1;4;0;4;0;0;0;0;0;0;1;3;1.0;10993;10941
456;AH501;22-06-2018;Gariguette;6;1;6;0;6;0;0;0;0;0;0;5;3;1.0;10944;10941
466;AH501;22-06-2018;Gariguette;6;1;9;0;9;0;0;0;5;0;0;4;3;1.0;10963;10941
489;AH501;22-06-2018;Gariguette;6;1;7;0;7;0;0;0;3;0;0;4;3;1.0;11002;10941
1055;AH501;22-06-2018;Gariguette;6;1;8;0;8;0;0;0;4;0;0;4;2;1.0;11035;10941
580;AH502;22-06-2018;CLERY;1;0;10;0;10;0;0;0;6;0;0;2;1;4.0;5005;5004
581;AH502;22-06-2018;CLERY;1;1;8;0;8;0;0;5;4;0;0;2;3;4.0;5007;5004
610;AH502;22-06-2018;CLERY;1;1;3;0;3;3;0;3;0;0;0;0;3;4.0;5057;5004
621;AH502;22-06-2018;CLERY;1;1;9;0;9;0;0;0;4;0;0;4;2;1.0;5085;5004
592;AH502;22-06-2018;CLERY;1;2;2;0;2;0;0;0;2;0;0;0;2;1.0;5026;5004
613;AH502;22-06-2018;CLERY;1;2;6;0;6;0;0;6;4;0;0;2;2;4.0;5061;5004
619;AH502;22-06-2018;CLERY;1;3;2;0;2;0;0;0;0;0;0;0;2;1.0;5078;5004
639;AH502;22-06-2018;CLERY;2;0;18;0;18;2;0;4;8;0;0;4;1;4.0;5114;5113
637;AH502;22-06-2018;CLERY;2;1;6;0;6;0;0;4;5;0;0;0;2;4.0;5289;5113
641;AH502;22-06-2018;CLERY;2;1;9;0;9;4;0;5;7;0;0;0;3;4.0;5116;5113
718;AH502;22-06-2018;CLERY;2;1;3;0;3;7;0;7;0;0;0;0;3;4.0;5227;5113
730;AH502;22-06-2018;CLERY;2;1;2;0;2;5;0;5;0;0;0;0;3;4.0;5246;5113
740;AH502;22-06-2018;CLERY;2;1;2;0;2;0;0;0;0;0;0;0;3;4.0;5261;5113
430;AH502;22-06-2018;CLERY;2;2;4;2;6;0;0;0;2;0;0;0;2;4.0;5231;5113
655;AH502;22-06-2018;CLERY;2;2;5;0;5;0;0;4;3;0;0;1;3;4.0;5139;5113
671;AH502;22-06-2018;CLERY;2;2;3;0;3;7;0;7;2;0;0;0;2;4.0;5164;5113
732;AH502;22-06-2018;CLERY;2;2;6;0;6;0;0;0;1;0;0;0;2;4.0;5249;5113
742;AH502;22-06-2018;CLERY;2;2;4;0;4;4;0;4;3;0;0;0;2;4.0;5264;5113
764;AH502;22-06-2018;CLERY;2;2;1;1;2;0;0;0;2;0;0;0;3;3.0;5303;5113
