Genotype;date;plant;nb_visible_leaves;nb_total_leaves;nb_missing_leaves;nb_leaf_present;leaf_area;total_leaf_area;nb_total_flowers;nb_stolons;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_inflorescence;order_max;nb_ramifications;vid
Gariguette;10/12/2014;1;8;12;0;8;56.33;450.64;0;1;1;3;7;0;0;0;1
Gariguette;10/12/2014;2;8;12;0;8;55.52;444.16;0;1;4;3;4;0;0;0;73
Gariguette;10/12/2014;3;11;14;0;11;42.47;467.17;0;2;3;1;8;0;0;0;146
Gariguette;10/12/2014;4;8;11;0;8;32.84;262.72;0;0;6;0;5;0;0;0;263
Gariguette;10/12/2014;5;6;10;0;6;48.26;289.56;0;1;5;2;2;0;0;0;326
Gariguette;10/12/2014;6;7;11;0;7;47.28;330.96;0;1;3;2;5;0;0;0;382
Gariguette;10/12/2014;7;7;11;0;7;39.71;277.97;0;1;7;1;2;0;0;0;444
Gariguette;10/12/2014;8;6;9;0;6;65.6;393.6;0;1;1;3;4;0;0;0;504
Gariguette;10/12/2014;9;7;10;0;7;47.19;330.33;0;1;4;0;5;0;0;0;561
Gariguette;08/01/2015;1;15;34;0;15;0;0;0;1;14;3;13;0;1;3;635
Gariguette;08/01/2015;2;11;15;0;11;55.52;610.72;14;2;2;2;9;0;0;0;816
Gariguette;08/01/2015;3;17;23;0;17;49.19;836.23;0;0;10;0;10;1;1;2;913
Gariguette;08/01/2015;4;14;17;0;14;52.3;732.2;22;0;5;1;10;1;1;1;1050
Gariguette;08/01/2015;5;13;13;0;13;80.35;1044.55;20;3;0;0;9;1;0;0;1201
Gariguette;08/01/2015;6;11;11;0;11;52.3;575.3;18;1;1;0;9;1;0;0;1321
Gariguette;08/01/2015;7;12;12;0;12;59.89;718.68;17;0;0;0;12;1;0;0;1426
Gariguette;08/01/2015;8;11;11;0;11;0;0;19;1;1;0;9;1;0;0;1533
Gariguette;08/01/2015;9;9;9;0;9;47.84;430.56;24;1;0;1;7;1;0;0;1620
Gariguette;12/02/2015;1;33;38;0;33;85.55;2823.15;41;0;12;1;19;6;1;5;1709
Gariguette;12/02/2015;2;18;21;0;18;89.21;1605.78;30;0;4;2;9;3;1;2;1947
Gariguette;12/02/2015;3;15;15;0;15;93.65;1404.75;42;1;3;0;9;3;1;1;2067
Gariguette;12/02/2015;4;10;10;0;10;85.55;855.5;32;0;1;0;8;2;1;0;2167
Gariguette;12/02/2015;5;27;31;0;27;104.85;2830.95;33;0;6;3;16;3;1;3;2238
Gariguette;12/02/2015;6;24;24;0;24;142.62;3422.88;43;2;4;1;14;4;1;2;2441
