;Genotype;date;modality;plant;order;nb_visible_leaves;nb_foliar_primordia;nb_total_leaves;nb_open_flowers;nb_aborted_flowers;nb_total_flowers;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_stolons;type_of_crown;crown_status;vid;plant_vid
215;AH502;22/06/2018;CLERY;1;0;10;0;10;0;0;0;6;0;0;2;1;4;5004;5003
216;AH502;22/06/2018;CLERY;1;1;8;0;8;0;0;5;4;0;0;2;3;4;5006;5003
225;AH502;22/06/2018;CLERY;1;1;3;0;3;3;0;3;0;0;0;0;3;4;5056;5003
229;AH502;22/06/2018;CLERY;1;1;9;0;9;0;0;0;4;0;0;4;2;1;5084;5003
219;AH502;22/06/2018;CLERY;1;2;2;0;2;0;0;0;2;0;0;0;2;1;5025;5003
226;AH502;22/06/2018;CLERY;1;2;6;0;6;0;0;6;4;0;0;2;2;4;5060;5003
228;AH502;22/06/2018;CLERY;1;3;2;0;2;0;0;0;0;0;0;0;2;1;5077;5003
236;AH502;22/06/2018;CLERY;2;0;18;0;18;2;0;4;8;0;0;4;1;4;5113;5112
237;AH502;22/06/2018;CLERY;2;1;9;0;9;4;0;5;7;0;0;0;3;4;5115;5112
264;AH502;22/06/2018;CLERY;2;1;3;0;3;7;0;7;0;0;0;0;3;4;5225;5112
270;AH502;22/06/2018;CLERY;2;1;2;0;2;5;0;5;0;0;0;0;3;4;5244;5112
273;AH502;22/06/2018;CLERY;2;1;2;0;2;0;0;0;0;0;0;0;3;4;5259;5112
279;AH502;22/06/2018;CLERY;2;1;6;0;6;0;0;4;5;0;0;0;2;4;5287;5112
244;AH502;22/06/2018;CLERY;2;2;5;0;5;0;0;4;3;0;0;1;3;4;5138;5112
250;AH502;22/06/2018;CLERY;2;2;3;0;3;7;0;7;2;0;0;0;2;4;5163;5112
265;AH502;22/06/2018;CLERY;2;2;4;2;6;0;0;0;2;0;0;0;2;4;5229;5112
274;AH502;22/06/2018;CLERY;2;2;4;0;4;4;0;4;3;0;0;0;2;4;5262;5112
282;AH502;22/06/2018;CLERY;2;2;1;1;2;0;0;0;2;0;0;0;3;3;5301;5112
286;AH502;22/06/2018;CLERY;2;2;2;0;2;0;0;0;1;0;0;0;2;1;5310;5112
403;AH502;22/06/2018;CLERY;2;2;6;0;6;0;0;0;1;0;0;0;2;4;5247;5112
45;AH502;22/06/2018;CLERY;2;3;2;1;3;0;0;0;2;0;0;0;2;3;5152;5112
252;AH502;22/06/2018;CLERY;2;3;4;0;4;0;0;0;1;0;0;0;2;4;5171;5112
276;AH502;22/06/2018;CLERY;2;3;3;0;3;1;0;4;3;0;0;0;2;4;5273;5112
313;BH514;22/06/2018;CF13014;1;0;16;0;16;17;0;18;6;0;0;5;1;4;1361;1360
314;BH514;22/06/2018;CF13014;1;1;7;0;7;9;0;10;2;0;0;0;3;4;1363;1360
320;BH514;22/06/2018;CF13014;1;1;6;0;6;13;0;21;1;0;0;0;3;4;1388;1360
327;BH514;22/06/2018;CF13014;1;1;7;0;7;14;0;18;0;0;0;3;3;4;1411;1360
339;BH514;22/06/2018;CF13014;1;1;7;0;7;0;0;16;7;0;0;0;3;4;1472;1360
342;BH514;22/06/2018;CF13014;1;1;6;0;6;0;0;8;4;0;0;2;2;4;1499;1360
233;BH514;22/06/2018;CF13014;1;2;3;0;3;7;0;9;2;0;0;0;2;4;1397;1360
316;BH514;22/06/2018;CF13014;1;2;4;0;4;0;0;0;0;0;0;0;3;1;1370;1360
318;BH514;22/06/2018;CF13014;1;2;5;0;5;0;0;0;1;0;0;0;2;1;1377;1360
331;BH514;22/06/2018;CF13014;1;2;3;0;3;6;0;8;2;0;0;0;2;4;1425;1360
341;BH514;22/06/2018;CF13014;1;2;1;0;1;0;0;0;1;0;0;0;2;1;1492;1360
345;BH514;22/06/2018;CF13014;1;2;1;0;1;0;0;0;1;0;0;0;2;1;1516;1360
325;BH514;22/06/2018;CF13014;1;3;3;0;3;0;0;0;0;0;0;0;2;1;1403;1360
332;BH514;22/06/2018;CF13014;1;3;3;0;3;0;0;0;0;0;0;0;2;1;1431;1360
347;BH514;22/06/2018;CF13014;2;0;18;0;18;16;0;17;5;0;0;8;1;4;1524;1523
348;BH514;22/06/2018;CF13014;2;1;18;0;18;20;0;21;5;0;0;13;3;4;1526;1523
363;BH514;22/06/2018;CF13014;2;1;8;0;8;17;0;19;6;0;0;2;3;4;1631;1523
375;BH514;22/06/2018;CF13014;2;1;14;0;14;0;0;0;13;0;0;1;3;1;1700;1523
380;BH514;22/06/2018;CF13014;2;1;11;0;11;12;0;14;8;0;0;3;3;4;1748;1523
390;BH514;22/06/2018;CF13014;2;1;1;0;1;0;0;0;0;0;0;0;3;1;1832;1523
392;BH514;22/06/2018;CF13014;2;1;8;0;8;0;0;9;7;0;0;1;3;4;1842;1523
396;BH514;22/06/2018;CF13014;2;1;7;0;7;0;0;11;3;0;0;0;2;4;1875;1523
