date;temp_mean;temp,sd;hygro,mean;hygro,sd;temp_sol,mean;temp_sol,sd;ray_ext,mean;ray_ext,sd
10/12/2014;6,55;3,06;87,13;2,31;12,92;21,97;0,00;NA
11/12/2014;10,22;1,72;87,86;2,49;11,28;2,08;28,24;53,65
12/12/2014;10,38;2,25;84,30;3,77;11,55;2,43;43,94;73,69
13/12/2014;9,75;1,69;83,62;2,92;10,87;1,79;22,75;38,95
14/12/2014;10,55;1,98;87,55;2,57;9,70;NA;24,14;44,45
15/12/2014;11,33;3,83;84,46;6,22;NA;NA;67,87;119,03
16/12/2014;9,30;0,87;89,24;0,93;11,49;0,75;1,24;4,28
17/12/2014;10,67;1,40;90,28;1,36;10,89;0,71;12,05;21,74
18/12/2014;12,84;1,18;90,79;1,74;11,70;NA;18,52;33,60
19/12/2014;11,65;1,19;90,78;1,69;NA;NA;17,81;32,27
20/12/2014;11,41;2,49;88,73;3,68;12,24;0,98;37,54;73,62
21/12/2014;10,00;3,37;84,29;3,61;10,60;NA;59,28;103,53
22/12/2014;9,81;4,10;79,27;5,58;NA;NA;79,46;124,74
23/12/2014;9,48;3,70;79,13;6,21;12,26;2,08;70,89;115,94
24/12/2014;8,27;1,04;82,99;2,58;10,60;NA;20,99;35,47
25/12/2014;9,74;2,21;85,16;2,05;11,63;1,20;32,06;67,50
26/12/2014;9,71;3,11;83,26;4,50;10,40;NA;44,78;78,01
27/12/2014;9,62;1,36;87,19;2,79;11,32;0,92;17,32;31,23
28/12/2014;8,19;0,24;85,64;0,86;10,22;0,20;0,00;0,00
29/12/2014;7,14;2,92;73,48;2,88;12,40;1,93;56,81;107,06
30/12/2014;8,10;3,13;75,30;2,97;11,52;1,47;57,58;99,25
31/12/2014;7,34;4,04;71,37;3,50;10,00;NA;88,18;125,61
01/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
02/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
03/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
04/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
05/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
06/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
07/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
08/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
09/01/2015;11,82;0,28;90,96;2,39;12,30;0,31;16,41;16,83
10/01/2015;11,76;0,51;90,21;1,93;12,26;0,45;16,92;28,55
11/01/2015;10,52;3,05;82,38;8,11;12,63;1,43;60,04;103,59
12/01/2015;9,76;4,13;73,73;9,51;12,83;2,66;95,15;145,85
13/01/2015;11,41;3,65;74,90;11,06;13,37;2,68;67,33;112,49
14/01/2015;11,01;3,08;81,27;9,34;13,15;1,75;54,11;97,49
15/01/2015;10,96;2,80;80,71;4,70;12,71;1,90;42,05;63,32
16/01/2015;9,75;1,84;83,94;3,84;11,87;1,02;29,00;48,91
17/01/2015;8,76;1,97;80,10;2,26;11,32;1,16;27,65;48,02
18/01/2015;9,53;2,66;77,55;5,16;12,09;1,80;52,22;87,28
19/01/2015;8,91;0,94;82,09;1,50;11,19;0,89;18,21;29,15
20/01/2015;8,23;2,60;75,64;2,88;11,37;1,43;45,71;70,00
21/01/2015;5,24;0,22;74,06;1,18;10,16;0,15;0,00;0,00
22/01/2015;NA;NA;NA;NA;NA;NA;NA;NA
23/01/2015;8,15;1,29;74,86;1,77;11,44;0,87;30,62;30,95
24/01/2015;7,39;1,33;74,69;1,87;11,00;0,94;20,13;30,57
25/01/2015;8,86;4,34;69,94;6,83;12,60;2,71;98,85;148,53
26/01/2015;8,09;1,74;76,64;3,29;11,04;0,98;24,95;41,07
27/01/2015;9,56;2,00;80,66;3,33;11,56;1,22;34,10;61,26
28/01/2015;9,41;1,16;81,81;4,11;11,29;1,01;27,82;43,99
29/01/2015;9,39;0,83;85,05;2,44;11,30;0,86;10,83;19,60
30/01/2015;9,48;2,60;77,63;5,25;11,96;1,66;60,27;104,58
31/01/2015;9,42;2,79;77,47;4,22;11,90;1,69;54,45;86,83
01/02/2015;9,17;3,24;73,33;5,77;12,17;2,00;68,58;116,73
02/02/2015;7,99;2,82;74,15;2,48;11,41;1,48;45,73;70,82
03/02/2015;8,67;3,41;73,40;3,89;11,87;1,71;64,44;105,03
04/02/2015;7,45;3,14;69,71;3,99;11,34;1,58;68,23;109,38
05/02/2015;7,87;3,44;68,32;3,89;11,73;1,92;72,97;111,39
06/02/2015;7,00;1,33;70,15;1,98;10,86;0,91;24,60;39,26
07/02/2015;9,42;4,43;66,02;8,22;12,90;2,82;103,68;153,92
08/02/2015;8,35;3,91;66,83;5,00;12,08;2,29;66,47;107,44
09/02/2015;10,20;4,90;60,82;14,89;13,39;3,24;109,66;157,91
10/02/2015;10,23;4,77;62,93;14,15;13,55;3,11;108,04;155,65
11/02/2015;10,81;4,70;65,34;13,77;13,71;3,18;106,04;153,61
12/02/2015;11,50;3,91;71,17;10,81;13,75;2,70;87,78;136,14
13/02/2015;11,33;3,53;73,35;10,20;13,26;2,32;72,78;123,49
14/02/2015;10,70;2,79;79,57;7,48;12,51;1,60;58,34;119,23
15/02/2015;10,48;2,59;80,75;4,77;12,27;1,54;38,46;61,49
16/02/2015;10,66;3,72;73,56;9,64;13,03;2,55;98,50;157,34
17/02/2015;10,87;3,12;77,19;8,64;12,88;2,06;58,56;106,73
18/02/2015;11,16;3,97;72,10;10,26;13,38;2,67;90,17;131,47
19/02/2015;11,18;4,62;67,58;13,67;14,03;3,25;123,50;173,49
20/02/2015;11,26;3,54;73,69;9,06;13,28;2,20;63,79;100,19
21/02/2015;10,81;3,27;76,57;7,43;13,06;1,97;73,51;108,80
22/02/2015;10,24;4,17;71,37;10,66;12,92;2,49;104,87;170,45
23/02/2015;11,33;3,28;77,36;11,02;12,88;1,99;78,05;152,16
24/02/2015;10,50;3,43;73,62;7,30;12,47;1,88;88,99;128,05
25/02/2015;10,25;2,05;81,27;3,60;11,81;1,05;27,58;41,34
26/02/2015;12,04;1,62;84,57;3,18;12,73;1,06;32,61;44,99
