Date;Heure; Temp_amb; Hygro; Temp_sol ;Ray_ext
10/12/2014;00:00;1,6;81,5;1,4;0
10/12/2014;00:10;1,4;81;0;
10/12/2014;00:20;1,5;82;0;
10/12/2014;00:30;1,9;82;0;
10/12/2014;00:40;2,1;83;0;
10/12/2014;00:50;2,4;83,5;0;
10/12/2014;01:00;2,6;84;0;
10/12/2014;01:10;2,7;84;0;
10/12/2014;01:20;2,8;84,5;0;
10/12/2014;01:30;2,8;84,5;0;
10/12/2014;01:40;2,8;85;0;
10/12/2014;01:50;2,8;84,5;0;
10/12/2014;02:00;2,7;84;0;
10/12/2014;02:10;2,4;84;0;
10/12/2014;02:20;2;83;0;
10/12/2014;02:30;1,7;83;0;
10/12/2014;02:40;1,5;83;0;
10/12/2014;02:50;1,5;83;0;
10/12/2014;03:00;1,4;82,5;0;
10/12/2014;03:10;1,5;82,5;0;
10/12/2014;03:20;1,7;83;0;
10/12/2014;03:30;2,1;84;0;
10/12/2014;03:40;2,3;84,5;0;
10/12/2014;03:50;2,5;85;0;
10/12/2014;04:00;2,7;85;0;
10/12/2014;04:10;2,8;85;0;
10/12/2014;04:20;2,9;85,5;0;
10/12/2014;04:30;3,2;86;0;
10/12/2014;04:40;3,5;86,5;0;
10/12/2014;04:50;3,5;87;0;
10/12/2014;05:00;3,6;87;0;
10/12/2014;05:10;3,7;87;0;
10/12/2014;05:20;3,8;87;0;
10/12/2014;05:30;3,9;87;0;
10/12/2014;05:40;4;87;0;
10/12/2014;05:50;4;87;0;
10/12/2014;06:00;4;87;0;
10/12/2014;06:10;4;87;0;
10/12/2014;06:20;4;87;0;
10/12/2014;06:30;4,2;87;0;
10/12/2014;06:40;4,2;87;0;
10/12/2014;06:50;4,3;87;0;
10/12/2014;07:00;4,3;87;0;
10/12/2014;07:10;4,3;87;0;
10/12/2014;07:20;4,3;87;0;
10/12/2014;07:30;4,3;87;0;
10/12/2014;07:40;4,3;87;0;
10/12/2014;07:50;4,3;87;0;
10/12/2014;08:00;4,4;87;0;
10/12/2014;08:10;4,3;87;0;
10/12/2014;08:20;4,4;87;0;
10/12/2014;08:30;4,4;87;0;
10/12/2014;08:40;4,4;87;1;
10/12/2014;08:50;4,5;87;1,7;
10/12/2014;09:00;4,4;87;2,7;
10/12/2014;09:10;4,5;87;7;
10/12/2014;09:20;4,7;87;8,3;
10/12/2014;09:30;4,8;87;9;
10/12/2014;09:40;5;87,5;15,3;
10/12/2014;09:50;5,1;87;17,7;
10/12/2014;10:00;5,2;87;11,3;
10/12/2014;10:10;5,2;87;10,7;
10/12/2014;10:20;5,2;87;13;
10/12/2014;10:30;5,3;88;22;
10/12/2014;10:40;5,5;88;39;
10/12/2014;10:50;5,7;88;40,3;
10/12/2014;11:00;5,9;88;44,3;
10/12/2014;11:10;6,2;88;64,3;
10/12/2014;11:20;6,6;88;59,7;
10/12/2014;11:30;6,8;88;90,3;
10/12/2014;11:40;7,3;88;77,7;
10/12/2014;11:50;7,3;87;43,3;
10/12/2014;12:00;7,3;87;51;
10/12/2014;12:10;7,2;87;39;
10/12/2014;12:20;7,2;87;29,7;
10/12/2014;12:30;7,2;87,5;74,3;
10/12/2014;12:40;7,5;88;79,3;
10/12/2014;12:50;7,8;87,5;51;
10/12/2014;13:00;7,8;87;49,7;
