Date;Temp_amb.mean;Temp_amb.sd;Hygro.mean;Hygro.sd;Temp_sol.mean;Temp_sol.sd;Ray_ext.mean;Ray_ext.sd
01/01/2015;9.42;2.23;81.27;3.84;11.87;2.78;24.14;54.74
01/02/2015;9.17;3.24;73.33;5.77;12.17;2;68.58;116.73
01/03/2015;12.8;1.78;85.9;2.79;13.15;1.1;31.32;50.13
01/04/2015;12.71;4.5;68.3;18.74;14.46;2.96;187.87;249.63
01/05/2015;15.74;1.14;86.28;1.95;16.88;0.77;0;4.28
01/06/2015;19.46;2.32;71.18;10.62;21.11;1.42;135.43;162.27
01/07/2015;28.14;5.15;48.04;14.36;29.81;4.06;194.61;220.27
02/01/2015;10.66;2.2;88.73;4.5;11.96;1.77;66.47;105.03
02/02/2015;7.99;2.82;74.15;2.48;11.41;1.48;45.73;70.82
02/03/2015;13.04;2.58;80.57;10.76;13.96;1.46;88.21;153.53
02/04/2015;13.08;3.49;72.49;9.14;14.61;2;86.79;108.1
02/05/2015;14.4;1.4;88;5.92;17.1;1.93;74.48;100.79
02/06/2015;21.48;5.2;61.54;18.51;21.1;3.6;262.4;287.23
02/07/2015;26.28;3.27;55.09;7.45;26.32;3.21;0;16.83
03/01/2015;10.48;0.83;87.55;1.77;12.08;0.71;31.32;38.95
03/02/2015;8.67;3.41;73.4;3.89;11.87;1.71;64.44;105.03
03/03/2015;12.02;2.9;81.27;7.48;13.42;1.61;59.25;88.54
03/04/2015;12.8;2.79;78.32;7.08;14.22;1.43;65.83;92.9
03/05/2015;19.73;3.46;76.39;13.71;20.09;2.75;150.71;201.09
03/06/2015;21.85;5.08;63.63;15.15;23.36;3.08;242.63;259.11
03/07/2015;27.46;5.56;56.24;20.55;22.2;0.87;183.44;206.85
04/01/2015;10.52;0.51;87.55;1.93;11.96;1.41;24.14;29.15
04/02/2015;7.45;3.14;69.71;3.99;11.34;1.58;68.23;109.38
04/03/2015;11.77;3.77;71.62;15.5;13.97;2.21;129.45;185.5
04/04/2015;12.86;2.45;80.55;7.7;14.05;1.39;63.16;102.6
04/05/2015;20.03;2.74;76.21;11.41;20.83;1.78;123.17;156.18
04/06/2015;23.85;5.65;62.23;18.73;23.76;2.58;227.13;236.69
04/07/2015;28.6;5.26;43;25.51;27.82;3.57;184.59;203.65
05/01/2015;10.71;1.69;86.28;4.11;12.27;1.04;18.52;43.99
05/02/2015;7.87;3.44;68.32;3.89;11.73;1.92;72.97;111.39
05/03/2015;11.28;4.82;61.4;15.83;14.18;3.09;150.03;201.35
05/04/2015;12.79;4.95;61.86;22.33;14.85;3.39;229.56;278.2
05/05/2015;17.86;2.2;69.72;11.53;19.78;1.04;111.87;124.62
05/06/2015;27.83;3.25;48.82;10.54;27.45;2.3;302.88;217.57
05/07/2015;25.92;3.9;59.9;12.14;25.4;3.51;180.21;203.09
06/01/2015;10.52;0.51;85.05;2.79;12.08;0.31;18.21;33.6
06/02/2015;7;1.33;70.15;1.98;10.86;0.91;24.6;39.26
