[1111/063519:ERROR:settings.cc(261)] Settings magic is not 1129342067
[0428/112458.947:ERROR:process_info.cc(625)] range at 0xfffde000, size 0x230 fully unreadable
[0428/112458.991:ERROR:process_info.cc(625)] range at 0xfffdd000, size 0xf84 fully unreadable
[0428/112458.992:ERROR:process_info.cc(625)] range at 0xfffda000, size 0xf84 fully unreadable
[0428/112458.994:ERROR:process_info.cc(625)] range at 0xfffd7000, size 0xf84 fully unreadable
[0428/112458.996:ERROR:process_info.cc(625)] range at 0xfffaf000, size 0xf84 fully unreadable
[0428/112458.998:ERROR:process_info.cc(625)] range at 0xfffac000, size 0xf84 fully unreadable
[0428/112458.999:ERROR:process_info.cc(625)] range at 0xfffa9000, size 0xf84 fully unreadable
[0428/112459.001:ERROR:process_info.cc(625)] range at 0xfffa6000, size 0xf84 fully unreadable
[0428/112459.002:ERROR:process_info.cc(625)] range at 0xfffa3000, size 0xf84 fully unreadable
[0428/112459.004:ERROR:process_info.cc(625)] range at 0xfffa0000, size 0xf84 fully unreadable
[0428/112459.006:ERROR:process_info.cc(625)] range at 0xfff9d000, size 0xf84 fully unreadable
[0428/112459.008:ERROR:process_info.cc(625)] range at 0xfff9a000, size 0xf84 fully unreadable
[0428/112459.009:ERROR:process_info.cc(625)] range at 0xfff97000, size 0xf84 fully unreadable
[0428/112459.011:ERROR:process_info.cc(625)] range at 0xfff94000, size 0xf84 fully unreadable
[0428/112459.013:ERROR:process_info.cc(625)] range at 0xfff8e000, size 0xf84 fully unreadable
[0428/112459.014:ERROR:process_info.cc(625)] range at 0xfff91000, size 0xf84 fully unreadable
[0428/112459.016:ERROR:process_info.cc(625)] range at 0xfff8b000, size 0xf84 fully unreadable
[0428/112459.018:ERROR:process_info.cc(625)] range at 0xfff88000, size 0xf84 fully unreadable
[0428/112459.019:ERROR:process_info.cc(625)] range at 0xfff85000, size 0xf84 fully unreadable
[0428/112459.021:ERROR:process_info.cc(625)] range at 0xfff82000, size 0xf84 fully unreadable
