,Genotype,Plante,complex,date,label,order,parent,scale
1,Capriss,1,0,10-12-2014,P,0.0,,1
2,Capriss,1,1,10-12-2014,T,0.0,,2
3,Capriss,1,2,10-12-2014,F,0.0,,3
4,Capriss,1,1,10-12-2014,A,1.0,2.0,2
5,Capriss,1,4,10-12-2014,f,1.0,3.0,3
6,Capriss,1,1,10-12-2014,A,2.0,4.0,2
7,Capriss,1,6,10-12-2014,bt,2.0,5.0,3
8,Capriss,1,4,10-12-2014,f,1.0,5.0,3
9,Capriss,1,1,10-12-2014,A,2.0,4.0,2
10,Capriss,1,9,10-12-2014,bt,2.0,8.0,3
11,Capriss,1,4,10-12-2014,f,1.0,8.0,3
12,Capriss,1,1,10-12-2014,A,2.0,4.0,2
13,Capriss,1,12,10-12-2014,f,2.0,11.0,3
14,Capriss,1,12,10-12-2014,f,2.0,13.0,3
15,Capriss,1,12,10-12-2014,ht,2.0,14.0,3
16,Capriss,1,4,10-12-2014,ht,1.0,11.0,3
17,Capriss,1,2,10-12-2014,F,0.0,3.0,3
18,Capriss,1,1,10-12-2014,A,1.0,2.0,2
19,Capriss,1,18,10-12-2014,f,1.0,17.0,3
20,Capriss,1,18,10-12-2014,f,1.0,19.0,3
21,Capriss,1,18,10-12-2014,f,1.0,20.0,3
22,Capriss,1,1,10-12-2014,A,2.0,18.0,2
23,Capriss,1,22,10-12-2014,bt,2.0,21.0,3
24,Capriss,1,18,10-12-2014,ht,1.0,21.0,3
25,Capriss,1,2,10-12-2014,F,0.0,17.0,3
26,Capriss,1,2,10-12-2014,F,0.0,25.0,3
27,Capriss,1,1,10-12-2014,A,1.0,2.0,2
28,Capriss,1,27,10-12-2014,s,1.0,26.0,3
29,Capriss,1,2,10-12-2014,F,0.0,26.0,3
30,Capriss,1,1,10-12-2014,A,1.0,2.0,2
31,Capriss,1,30,10-12-2014,s,1.0,29.0,3
32,Capriss,1,2,10-12-2014,F,0.0,29.0,3
33,Capriss,1,1,10-12-2014,A,1.0,2.0,2
34,Capriss,1,33,10-12-2014,f,1.0,32.0,3
35,Capriss,1,1,10-12-2014,A,2.0,33.0,2
36,Capriss,1,35,10-12-2014,bt,2.0,34.0,3
37,Capriss,1,33,10-12-2014,f,1.0,34.0,3
38,Capriss,1,33,10-12-2014,f,1.0,37.0,3
39,Capriss,1,1,10-12-2014,A,2.0,33.0,2
40,Capriss,1,39,10-12-2014,bt,2.0,38.0,3
41,Capriss,1,33,10-12-2014,f,1.0,38.0,3
42,Capriss,1,1,10-12-2014,A,2.0,33.0,2
43,Capriss,1,42,10-12-2014,bt,2.0,41.0,3
44,Capriss,1,33,10-12-2014,ht,1.0,41.0,3
45,Capriss,1,2,10-12-2014,F,0.0,32.0,3
46,Capriss,1,1,10-12-2014,A,1.0,2.0,2
47,Capriss,1,46,10-12-2014,f,1.0,45.0,3
48,Capriss,1,1,10-12-2014,A,2.0,46.0,2
49,Capriss,1,48,10-12-2014,bt,2.0,47.0,3
50,Capriss,1,46,10-12-2014,f,1.0,47.0,3
51,Capriss,1,1,10-12-2014,A,2.0,46.0,2
52,Capriss,1,51,10-12-2014,bt,2.0,50.0,3
53,Capriss,1,46,10-12-2014,f,1.0,50.0,3
54,Capriss,1,1,10-12-2014,A,2.0,46.0,2
55,Capriss,1,54,10-12-2014,f,2.0,53.0,3
56,Capriss,1,54,10-12-2014,f,2.0,55.0,3
57,Capriss,1,54,10-12-2014,bt,2.0,56.0,3
58,Capriss,1,1,10-12-2014,A,2.0,46.0,2
59,Capriss,1,58,10-12-2014,bt,2.0,53.0,3
60,Capriss,1,46,10-12-2014,ht,1.0,53.0,3
61,Capriss,1,2,10-12-2014,F,0.0,45.0,3
62,Capriss,1,1,10-12-2014,A,1.0,2.0,2
63,Capriss,1,62,10-12-2014,f,1.0,61.0,3
64,Capriss,1,62,10-12-2014,f,1.0,63.0,3
65,Capriss,1,62,10-12-2014,f,1.0,64.0,3
66,Capriss,1,62,10-12-2014,f,1.0,65.0,3
67,Capriss,1,62,10-12-2014,ht,1.0,66.0,3
68,Capriss,1,2,10-12-2014,F,0.0,61.0,3
69,Capriss,1,1,10-12-2014,A,1.0,2.0,2
70,Capriss,1,69,10-12-2014,f,1.0,68.0,3
71,Capriss,1,69,10-12-2014,f,1.0,70.0,3
72,Capriss,1,69,10-12-2014,f,1.0,71.0,3
73,Capriss,1,69,10-12-2014,ht,1.0,72.0,3
74,Capriss,1,2,10-12-2014,F,0.0,68.0,3
75,Capriss,1,1,10-12-2014,A,1.0,2.0,2
76,Capriss,1,75,10-12-2014,f,1.0,74.0,3
77,Capriss,1,75,10-12-2014,f,1.0,76.0,3
78,Capriss,1,75,10-12-2014,f,1.0,77.0,3
79,Capriss,1,75,10-12-2014,ht,1.0,78.0,3
80,Capriss,1,2,10-12-2014,F,0.0,74.0,3
81,Capriss,1,1,10-12-2014,A,1.0,2.0,2
