Architecture day:;04/08/2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;Axis_8;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;
F;;;;;;;;-;-;;;;;;;-;-;-;-;
F;;;;;;;;-;-;;;;;;;-;-;-;-;
F;;;;;;;;-;-;;;;;;;-;-;-;-;
F;C;;;;;;;-;-;;;;;;;-;-;-;-;
;F;;;;;;;-;-;;;;;;;-;-;-;-;
;F;;;;;;;-;-;;;;;;;-;-;-;-;
;F;;;;;;;-;-;;;;;;;-;-;-;-;
;F;C;;;;;;-;-;;;;;;;-;-;-;-;
;;F;;;;;;-;-;;;;;;;-;-;-;-;
;;F;C;;;;;-;-;;;;;;;-;-;-;-;
;;;F;;;;;-;-;;;;;;;-;-;-;-;
;;;F;C;;;;-;-;;;;;;;-;-;-;-;
;;;;F;;;;72,6;92,75;;;;;;;-;-;-;-;
;;;;F;;;;90,14;88,4;;;;;;;-;-;-;-;
;;;;F;C;;;175,61;123,21;;;;;;;-;-;-;-;
;;;;;F;s;;96,51;72,69;;;;;;;-;-;-;-;
;;;;;F;C;;169,65;130,94;;;;;;;-;-;-;-;
;;;;;;F;s;107,8;99,04;;;;;;;-;-;-;-;
;;;;;;F;s;169,76;116,19;;;;;;;-;-;-;-;
;;;;;;F;s;105,6;96,78;;;;;;;-;-;-;-;
;;;;;;F;s;49,37;69;;;;;;;-;-;-;-;
;;;;;;F;s;51,4;62,07;;;;;;;-;-;-;-;
;;;;;;BT;;;;;;;;;;-;-;-;-;
