Architecture day:;27/08/2015;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;;;;
F;;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;;
F;C;;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;F;s;;;;;;;;;;;;;;;;;;;;
;BT;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;;
F;C;;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;;
;F;C;;;;;;;;;;;;;;;;;;;;
;;F;;;;;;;;;;;;;;;;;;;;
;;F;C;;;;;;;;;;;;;;;;;;;
;;;F;;;;;;;;;;;;;;;;;;;
;;;F;;;;;;;;;;;;;;;;;;;
;;;F;C;;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;2;0;2;reste hampe
;;;;F;s;;;;;;;;;;;;;;1;0;1;reste hampe
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;;;;;;;;
;;F;C;;;;;;;;;;;;;;;;;;;
;;;F;;;;;;;;;;;;;;;;;;;
;;;F;;;;;;;;;;;;;;;;;;;
;;;F;C;;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;F;s;;;;;;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;;;;;;;;;
;HT;;;;;;;;;;;;;;;;;;;;;
HT;;;;;;;;;;;;;;;;;;;;;;
