Architecture day:;05/08/2015;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_fruit;com.
F;C;;;;;;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;
;;F;C;;;;-;-;;;;;;;;;;
;;;F;s;;;25,19;52,66;;;;;;;;;;
;;;F;s;;;45,62;54,28;;;;;;;;;;
;;;F;s;;;105,6;96,49;;;;;;;;;;
;;;F;C;;;104,81;92,48;;;;;;;;;;
;;;;F;s;;99,6;87,44;;;;;;;;;;
;;;;F;s;;84,47;84,67;;;;;;;;;;
;;;;F;s;;78,49;75,92;;;;;;;;;;
;;;;F;s;;52,99;69,92;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;3;2;5;
;;HT;;;;;;;;;;;;;3;2;5;
