Architecture day:;31/07/2015;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Architecture;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.
F;;;;;;-;-;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;
F;C;;;;;-;-;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;
;F;C;;;;-;-;;;;;;;;;;
;;F;;;;-;-;;;;;;;;;;
;;F;;;;-;-;;;;;;;;;;
;;F;C;;;-;-;;;;;;;;;;
;;;F;;;123.42;108.05;;;;;;;;;;
;;;F;;;158.26;118.46;;;;;;;;;;
;;;F;C;;62.84;80.69;;;;;;;;;;
;;;;F;b;91.75;96.06;;;;;;;;;;
;;;;F;s;90.84;101.58;;;;;;;;;;
;;;;F;s;82.68;93.29;;;;;;;;;;
;;;;F;s;65.50;83.17;;;;;;;;;;
;;;;F;s;16.78;46.25;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;4;0;4;
;;HT;;;;;;;;;;;;4;1;5;
;HT;;;;;;;;;;;;;7;2;9;
F;;;;;;-;-;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;
F;C;;;;;-;-;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;
;F;C;;;;-;-;;;;;;;;;;
;;F;;;;83.67;94.65;;;;;;;;;;
;;F;C;;;117.61;117.75;;;;;;;;;;
;;;F;;;100.40;108.86;;;;;;;;;;
;;;F;;;104.21;98.32;;;;;;;;;;
;;;F;C;;123.10;109.00;;;;;;;;;;
;;;;F;s;22.91;42.48;;;;;;2 lobes;;;;
;;;;F;s;73.41;82.18;;;;;;;;;;
;;;;F;s;83.60;88.47;;;;;;;;;;
;;;;F;s;53.35;78.94;7;4,4;6,5;4,3;56,889;;;;;
;;;;BT;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;3;1;4;
;;HT;;;;;;;;;;;;1;0;1;reste hampe
;HT;;;;;;;;;;;;;6;2;8;
HT;;;;;;;;;;;;;;7;3;10;
