Architecture day:;30/07/2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;
F;;;;;;;-;-;;;;;;;;;;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;C;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;;;
;;F;;;;;52,78;88,98;;;;;;;;;;;;
;;F;;;;;48,88;90,6;;;;;;;;;;;;
;;F;C;;;;71,31;111,11;;;;;;;;;;;;
;;;F;b;;;140,71;137,17;;;;;;;;;;;;
;;;F;C;;;148,27;126,44;;;;;;;;;;;;
;;;;F;s;;-;-;;;;;;;;;;;;
;;;;F;C;;185,57;162,67;;;;;;;;;;;;
;;;;;F;s;14,48;51,93;;;;;;;;;;;;
;;;;;F;s;86,84;103,31;;;;;;;;;;;;
;;;;;F;s;74,17;100,49;;;;;;;;;;;;
;;;;;F;s;66,28;89,35;;;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;;
;;;;F;;;-;-;;;;;;;;;;;;
;;;;F;;;-;-;;;;;;;;;;;;
;;;;F;C;;-;-;;;;;;;;;;;;
;;;;;F;s;85,52;98,2;;;;;;2 lobes;;;;;;
;;;;;F;s;154,46;138,24;;;;;;;;;;;;
;;;;;F;s;124,48;136,12;;;;;;;;;;;;
;;;;;F;s;81,5;108,3;;;;;;;;;;;;
;;;;;F;s;106,23;120,21;;;;;;;;;;;;
;;;;;F;s;58,75;91,22;;;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;6;2;8;;;
;;;HT;;;;;;;;;;;;5;0;5;;;
;;HT;;;;;;;;;;;;;2;1;3;;;
;HT;;;;;;;;;;;;;;1;0;1;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;C;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;46,94;65,43;;;;;;;;;;;;
;F;;;;;;88,82;134,45;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;C;;;;-;-;;;;;;;;;;;;
;;;F;s;;;148,43;129,95;;;;;;;;;;;;
;;;F;C;;;-;-;;;;;;;;;;;;
;;;;F;s;;86,51;102,86;;;;;;1 lobe coupé;;;;;;
;;;;F;s;;112,23;128,85;;;;;;;;;;;;
;;;;F;s;;94,54;107,5;;;;;;;;;;;;
;;;;F;s;;106,84;115,3;;;;;;;;;;;;
;;;;F;s;;73,96;102,73;8,2;5,9;7,6;5;77,49;;;;;;;
;;;;F;s;;30,23;63,11;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;6;0;6;;;
;;HT;;;;;;;;;;;;;6;0;6;;;
;HT;;;;;;;;;;;;;;6;2;8;;;
HT;;;;;;;;;;;;;;;18;1;19;;;
