Architecture day:;29/07/2015;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Architecture;;;;;Leaf_notation;;;;;;;;Yield_notation;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_fruit;com.
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;;;;;-;-;;;;;;;;;;
F;C;;;;-;-;;;;;;;;;;
;F;;;;54.21;73.77;;;;;;;;;;
;F;b;;;105.60;115.51;;;;;;;;;;
;F;C;;;81.96;97.08;;;;;;;;;;
;;F;s;;127.74;132.32;;;;;;;;;;
;;F;s;;111.00;121.22;;;;;;;;;;
;;F;s;;85.92;103.61;;;;;;;;;;
;;F;s;;108.28;109.48;;;;;;;;;;
;;F;s;;103.12;110.93;;;;;;;;;;
;;F;s;;81.34;99.47;;;;;;;;;;
;;F;s;;24.08;67.39;;;;;;;;;;
;;BT;;;;;;;;;;;;;;
;HT;;;;;;;;;;;;5;0;5;
F;C;;;;-;-;;;;;;;;;;
;F;;;;14.52;40.28;;;;;;;;;;
;F;;;;67.72;93.91;;;;;;;;;;
;F;b;;;79.70;105.08;;;;;;;;;;
;F;C;;;58.96;85.40;;;;;;;;;;
;;F;s;;92.11;111.83;;;;;;;;;;
;;F;s;;74.38;102.43;;;;;;;;;;
;;BT;;;;;;;;;;;;;;
;HT;;;;;;;;;;;;5;0;5;
F;C;;;;-;-;;;;;;;;;;
;F;;;;-;-;;;;;;;;;;
;F;;;;50.57;81.50;;;;;;;;;;
;F;;;;68.16;98.97;;;;;;;;;;
;F;C;;;14.37;54.31;;;;;;;;;;
;;F;;;103.98;114.54;;;;;;;;;;
;;F;C;;81.23;83.41;;;;;;2 lobes;;;;
;;;F;;88.08;93.97;;;;;;2 lobes;;;;
;;;F;s;74.38;99.19;;;;;;2 lobes + feuille decoupé;;;;
;;;F;s;83.13;101.51;;;;;;;;;;
;;;F;s;116.82;124.22;;;;;;;;;;
;;;F;s;96.13;111.42;;;;;;;;;;
;;;F;s;54.73;94.73;;;;;;;;;;
;;;F;s;-;-;;;;;;;;;;
;;;BT;;;;;;;;;;;;;
;;HT;;;;;;;;;;;4;2;6;
;HT;;;;;;;;;;;;4;1;5;
HT;;;;;;;;;;;;;33;4;37;
