Architecture day:;30/07/2015;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;
F;;;;;;-;-;;;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;;;
F;;;;;;-;-;;;;;;;;;;;;
F;C;;;;;-;-;;;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;;;
;F;;;;;59,85;89,78;;;;;;;;;;;;
;F;s;;;;40,97;60,46;;;;;;2 lobe dont 1 coupé;;;;;;
;F;s;;;;123,29;120,3;;;;;;;;;;;;
;F;s;;;;104,26;116,73;;;;;;;;;;;;
;F;s;;;;103,84;127,27;;;;;;;;;;;;
;F;s;;;;93,68;120,61;;;;;;;;;;;;
;F;s;;;;97,38;113,93;;;;;;;;;;;;
;F;s;;;;75,89;119,6;;;;;;;;;;;;
;F;s;;;;-;-;;;;;;;;;;;;
;BT;;;;;;;;;;;;;;;;;;
F;C;;;;;-;-;;;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;;;
;F;C;;;;-;-;;;;;;;;;;;;
;;F;;;;41,29;70,94;;;;;;;;;;;;
;;F;C;;;32,26;51,45;;;;;;;;;;;;
;;;F;C;;32,37;62,87;;;;;;;;;;;;
;;;;F;;35,54;65,74;;;;;;;;;;;;
;;;;F;;23,31;53,22;;;;;;;;;;;;
;;;;F;;40,87;74,14;;;;;;;;;;;;
;;;;F;s;50,83;49,48;;;;;;;;;;;;
;;;;F;s;33,49;71,78;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;2;1;3;;;
;;F;;;;41,8;78,84;;;;;;;;;;;;
;;F;;;;33,83;65,46;;;;;;;;;;;;
;;F;s;;;70,28;93,26;;;;;;;;;;;;
;;F;s;;;54,1;76,11;;;;;;;;;;;;
;;BT;;;;;;;;;;;;;;;;;
;F;C;;;;-;-;;;;;;;;;;;;
;;F;;;;132,74;121,37;;;;;;;;;;;;
;;F;C;;;31,71;45,14;;;;;;1  lobe;;;;;;
;;;F;;;104,11;100,92;;;;;;;;;;;;
;;;F;;;85,56;91,33;;;;;;;;;;;;
;;;F;s;;34,35;40;;;;;;1  lobe;;;;;;
;;;F;s;;101,74;119,01;;;;;;;;;;;;
;;;F;s;;72,74;113,26;;;;;;;;;;;;
;;;BT;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;4;1;5;;;
;HT;;;;;;;;;;;;;3;2;5;;;
F;;;;;;-;-;;;;;;;;;;;;
F;C;;;;;-;-;;;;;;;;;;;;
;F;;;;;53,56;82,5;;;;;;2  lobes;;;;;;
;F;;;;;34,86;52,26;;;;;;2 lobes;;;;;;
;F;s;;;;39,41;63,61;;;;;;;;;;;;
;F;s;;;;52,99;128,42;;;;;;;;;;;;
;F;s;;;;62,45;98,73;;;;;;;;;;;;
;BT;;;;;;;;;;;;;;;;;;
;C;;;;;;;;;;;;;;;;;;
;F;;;;;-;-;;;;;;;;;;;;
;F;C;;;;-;-;;;;;;;;;;;;
;;F;;;;32,43;77,98;;;;;;;;;;;;
;;F;;;;32,34;67,85;;;;;;;;;;;;
;;F;;;;89,61;96,81;;;;;;;;;;;;
;;F;;;;131,34;121,53;;;;;;;;;;;;
;;F;C;;;64,45;48,92;;;;;;1 lobe;;;;;;
;;;F;s;;59,11;46,3;;;;;;1 lobe;;;;;;
;;;F;s;;132,81;153,93;;;;;;1 lobe coupé;;;;;;
;;;F;s;;89,71;110,6;;;;;;1 lobe coupé;;;;;;
;;;F;s;;100,46;114,72;;;;;;;;;;;;
;;;F;s;;83,59;107,08;;;;;;;;;;;;
;;;F;s;;111,13;113,01;;;;;;;;;;;;
;;;F;s;;69,01;107,7;7,3;5;7;4,5;62,0865;;;;;;;
;;;BT;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;4;1;5;;;
;HT;;;;;;;;;;;;;14;1;15;;;
HT;;;;;;;;;;;;;;18;2;20;;;
